rand_index,media,desvio_padrao
0.8375319459656809,0.9638161255066278,0.051768611278850796
0.8354375586177043,0.9630473915731612,0.052555107112184515
0.833404619332763,0.9622757084050636,0.053338974716837406
0.8314313891236969,0.9615014816637537,0.05411945467844338
0.8295161851722938,0.9607250975667452,0.054895855705983446
0.8273133814929481,0.9599449120926293,0.055672336386886484
0.8251733986128111,0.9591613567817002,0.056447995491474785
0.8230945019491868,0.9583748431699516,0.05722200333148942
0.8210750116271344,0.9575857636783262,0.05799359751384108
0.8207553366174056,0.9568038755236924,0.05874022029393528
0.8187662337662338,0.9560195707409795,0.059484933443403616
0.8168335901386748,0.9552332092686501,0.06022705497379077
0.8149558814194122,0.9544451343930925,0.06096595809954842
0.8131316301550436,0.9536556734755616,0.06170106784280033
0.8046554934823091,0.9528278946978213,0.06251820231863742
0.8042971147943524,0.9520072826541557,0.06330990680506826
0.8039584724667598,0.9511938276531261,0.06407722578883909
0.8036389839668528,0.9503875170318896,0.0648211323840642
0.8018531717747683,0.9495802651554922,0.06556063163467582
0.799882491186839,0.9487710879989049,0.0662981159429914
0.7995350188898576,0.9479687435413293,0.06701420562147611
0.7975964579380139,0.9471646136717929,0.06772857925966314
0.7896802821708955,0.9463269310574265,0.06851263265474211
0.7878532027468198,0.9454884457224497,0.06929155645076403
0.7860763018657756,0.9446494344389935,0.07006492944879902
0.7857260953430697,0.9438173750719991,0.07081619591734242
0.7839768760907504,0.9429848724731384,0.07156248129135942
0.7764464594127807,0.9421219791412195,0.07237136431757589
0.7747449388387373,0.9412592108922376,0.07317294300412182
0.7744118424530796,0.9404035833617804,0.07395166561473808
0.7740973312401884,0.9395550820754458,0.07470835074859493
0.7738008909147416,0.9387136902421427,0.0754437690656347
0.7735220222529867,0.9378793888886622,0.07615864750684168
0.773260240596924,0.9370521569876986,0.07685367303082462
0.7730150753768844,0.9362319715796446,0.0775294959331649
0.7743283582089552,0.93542648096586,0.07817084606606926
